instance,method,total_distance,cost,processing_time,num_vehicles,mean_route_length,std_route_length,min_route_length,max_route_length,mean_customers_per_route,std_customers_per_route,min_customers_per_route,max_customers_per_route,coef_variation_length,distance_per_second,cost_per_second
vpr101_3_1_results.json,clarke_wright_savings,85208.21,71574.9,0.008999347686767578,3,28402737.379496485,2895574.7763351984,24343305.998705518,30898599.588177912,33.333333333333336,2.357022603955158,30,35,0.1019470319936652,9468265.141626664,7953343.11899539
vpr101_3_1_results.json,genetic_algorithm,44370.16,37270.93,45.37403583526611,3,14790052.842086444,3570288.8588973605,12076819.198878046,19834381.176535904,33.333333333333336,0.4714045207910317,33,34,0.24139797856149492,977.8755445314417,821.4153604346535
vpr101_3_1_results.json,grasp,57998.11,48718.41,31.28495478630066,3,19332702.98289341,375008.4630931875,18857929.401968893,19774759.156091228,33.333333333333336,0.4714045207910317,33,34,0.0193976219168636,1853.8658724671304,1557.2472561581985
vpr101_3_1_results.json,nearest_neighbor_algorithm,63519.58,53356.45,0.0010530948638916016,3,21173194.033870608,1761033.0986156855,19275930.298959795,23519019.195675135,33.333333333333336,0.4714045207910317,33,34,0.08317276532763897,60317054.216056146,50666328.20031696
vpr101_3_2_results.json,clarke_wright_savings,94017.64,78974.82,0.009000062942504883,3,31339213.376436215,9726035.159474667,18150726.4058714,41315985.27334175,33.333333333333336,10.143416036468626,19,41,0.31034713739138137,10446331.38685952,8774918.6316268
vpr101_3_2_results.json,genetic_algorithm,48448.17,40696.46,45.53590369224548,3,16149388.788463375,1729901.530800275,14647105.394334668,18572713.91212648,33.333333333333336,0.4714045207910317,33,34,0.10711869987525864,1063.9553862252756,893.7224629392913
vpr101_3_2_results.json,grasp,57359.66,48182.12,36.08308744430542,3,19119887.697539534,330325.0001473547,18834618.95564458,19582894.066727772,33.333333333333336,0.4714045207910317,33,34,0.017276513616231278,1589.654989710489,1335.310346554173
vpr101_3_2_results.json,nearest_neighbor_algorithm,66685.05,56015.44,0.002172708511352539,3,22228349.350512385,742575.3163373198,21200951.31601519,22930375.502512414,33.333333333333336,0.4714045207910317,33,34,0.03340667832000772,30692129.041501153,25781387.47435093
vpr101_4_2_results.json,clarke_wright_savings,94868.52,79689.56,0.00899362564086914,4,23717130.74489183,3632142.5592918918,20179945.95857089,29795008.351772383,25.0,7.905694150420948,17,38,0.1531442651457398,10548417.711417211,8860671.233398017
vpr101_4_2_results.json,genetic_algorithm,54464.69,45750.34,47.598544120788574,4,13616172.178205818,1266864.1282406198,12127480.174643356,15418125.786837384,25.0,0.0,25,25,0.09304113605939672,1144.2511741911167,961.1709947241563
